# Title: PUP Domains Splunk Lookup
# Description: Block domains that host potentially unwanted programs (PUP)
# Updated: 2023-05-14T00:15:18Z
# Expires: 1 day (update frequency)
# Homepage: https://gitlab.com/malware-filter/pup-filter
# License: https://gitlab.com/malware-filter/pup-filter#license
# Source: https://github.com/zhouhanc/malware-discoverer
# Update (2023-05-10): Daily update has been paused. gitlab.com/malware-filter/pup-filter/-/issues/2
"host","path","message","updated"
"sexoplace.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"sexoview.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"shopnsave.world","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"shopperdeal.net","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"soft-ex.icu","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"sonic1crater.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"sonic7volcano.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"sonicaocean.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"soundbeats.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"spacepaperstar.buzz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"specialdatlng.net","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"startdollarsurvey.top","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"streamcontent.fun","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"streamhalk.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"subeamy.pw","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"sunnyview.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"survey-today.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"syncgreatlyprecisetheproduct.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"syncintenselyquickthefile.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"syncintenselyspeedythefile.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"tdsshark.club","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"techandgadgets.net","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"techynews.org","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"termovideo.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"tetview.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"the1planet.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"the7planet.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"theasea.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"thelastpicture.show","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"timefornews.online","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"topamdeia.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"topedvideo.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"toplamvideo.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"topsummerapps.net","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"toptechprivacy.cyou","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"trafficbounce.net","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"tronvideo.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"tunevideo.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
